,index,name,latitude,longitude,address,review,savecount,visitorreviewscore
68,68,반룡산,37.5044952,127.0558583,서울 강남구 테헤란로78길 26 1층,812,"17,000",4.3
69,69,무탄,37.5273824,127.0302963,서울 강남구 논현로176길 22 1층,"1,673","61,000",4.36
70,70,울프강 스테이크하우스,37.5244652,127.0414525,서울 강남구 선릉로152길 21,"7,958","49,000",4.5
71,71,우동명가기리야마본진,37.4971270,127.0304175,서울 강남구 강남대로84길 23 한라클래식 지하1층,632,"18,000",4.41
72,72,심퍼티쿠시 가로수길점,37.5176798,127.0205547,서울 강남구 강남대로154길 16 1층 101호,211,"17,000",
73,73,대막,37.5238506,127.0367372,"서울 강남구 압구정로46길 75 , 1층",872,"50,000",4.43
74,74,압구정하루,37.5268197,127.0382274,서울 강남구 언주로172길 56,"2,168","26,000",
75,75,이나세,37.5090271,127.0606206,서울 강남구 테헤란로 521 파르나스몰 지하 1층 F-15호,"1,301","5,000",4.34
76,76,브루클린더버거조인트 가로수길점,37.5191126,127.0240337,서울 강남구 도산대로15길 12 가로수빌딩 1층,"1,822","47,000",4.48
77,77,뱅뱅막국수,37.4897343,127.0328178,"서울 강남구 도곡로 112 서한빌딩, 1층","1,922","18,000",4.69
78,78,메종 드 라 카테고리,37.5255785,127.0402284,서울 강남구 선릉로 826,491,"36,000",4.4
79,79,모센즈스위트 신사점,37.5179722,127.0208991,서울 강남구 강남대로154길 21,48,"2,000",
80,80,신비갈비살본점,37.5190866,127.0201807,서울 강남구 강남대로158길 15 1층,118,"10,000",4.56
81,81,익스퀴진,37.5210769,127.0496916,서울 강남구 삼성로140길 6 라파빌딩,133,"29,000",4.7
82,82,카멜커피,37.5234579,127.0359843,서울 강남구 도산대로45길 16-8,"1,633","40,000",4.43
83,83,뽕나무쟁이 선릉본점,37.5032108,127.0520516,서울 강남구 역삼로65길 31,"1,583","24,000",4.42
84,84,리북집,37.5086129,127.0236560,서울 강남구 학동로2길 45,"1,443","17,000",4.39
85,85,양인환대,37.4855414,127.0353843,서울 강남구 강남대로42길 17,288,"10,000",4.48
86,86,온기정,37.5221788,127.0209209,서울 강남구 압구정로4길 13-9 1층 온기정,"1,381","26,000",4.3
87,87,정돈 강남점,37.5039501,127.0264478,서울 강남구 강남대로110길 19-1 1층,"1,424","26,000",4.56
88,88,길목,37.5190479,127.0565137,서울 강남구 영동대로129길 10,520,"34,000",4.49
89,89,구스아일랜드 브루하우스,37.4934113,127.0320945,서울 강남구 역삼로 118,905,"15,000",4.48
90,90,콴안다오,37.5185095,127.0216147,서울 강남구 강남대로156길 28-2,"1,388","24,000",4.52
91,91,알라보 강남점,37.4999326,127.0323679,서울 강남구 테헤란로 129 강남N타워 1층,"1,617","18,000",4.44
92,92,알아차림,37.5053754,127.0429109,서울 강남구 봉은사로44길 68 1층,38,"1,000",
93,93,칼리프하우스,37.5249656,127.0364917,서울 강남구 도산대로49길 29-8,9,"3,000",
94,94,보슬보슬,37.4974656,127.0316381,서울 강남구 테헤란로8길 22 1층 102호,"5,171","36,000",4.38
95,95,알베르,37.5030220,127.0281051,서울 강남구 강남대로102길 34,"1,818","35,000",4.37
96,96,맥주덕후 피자덕후,37.5261164,127.0379521,서울 강남구 선릉로157길 23 2층 맥주덕후 피자덕후,"1,015","34,000",4.91
97,97,에이비카페 At Bali,37.5029431,127.0278949,서울 강남구 강남대로102길 32,"2,859","27,000",4.44
98,99,번패티번 강남점,37.5027186,127.0274601,서울 강남구 강남대로102길 25,51,500,
99,100,정식당,37.5256529,127.0410861,서울 강남구 선릉로158길 11,"1,433","60,000",
100,101,블루문 탭하우스,37.5044233,127.0425516,서울 강남구 언주로94길 5 1층 블루문탭하우스,177,"2,000",4.61
101,102,에뚜왈,37.5213093,127.0222063,서울 강남구 압구정로10길 35 지하1층,"1,246","38,000",4.49
102,103,BISTROT de YOUNTVILLE,37.5260560,127.0412670,서울 강남구 선릉로158길 13-7 이안빌딩 1층,"2,024","37,000",4.65
103,104,갓덴스시 강남점,37.4987359,127.0290626,서울 강남구 테헤란로 109 강남제일빌딩,"2,177","9,000",4.44
104,105,오아시스 청담점,37.5248213,127.0405303,서울 강남구 도산대로55길 20 영빌딩 1층,"1,327","40,000",
105,106,60년전통신촌황소곱창 강남역직영점,37.5018165,127.0272036,서울 강남구 강남대로100길 13,850,"4,000",4.6
106,107,카이센동 우니도,37.5206882,127.0199227,서울 강남구 압구정로2길 15 1층 카이센동우니도,395,"23,000",4.84
107,108,미엔아이 천등,37.5027772,127.0267132,서울 강남구 봉은사로4길 32 1층,"1,683","12,000",4.71
108,109,뱃고동,37.5268547,127.0379962,서울 강남구 언주로172길 54,"2,239","29,000",4.28
109,110,감성타코 강남역점,37.4989462,127.0276280,서울 강남구 강남대로 406 지하1층 감성타코,"1,739","19,000",4.39
110,111,지아니스나폴리 역삼 본점,37.5026443,127.0375362,서울 강남구 논현로94길 15 B1층,586,"12,000",4.41
111,112,샌드커피 논탄토 신사,37.5209173,127.0239017,서울 강남구 도산대로17길 35 1F,642,"27,000",4.47
112,113,구테로이테,37.5176727,127.0396496,서울 강남구 선릉로131길 16 1층 구테로이테,"1,411","21,000",4.73
113,114,누데이크 하우스 도산,37.5254466,127.0356153,서울 강남구 압구정로46길 50 하우스 도산 B1,"1,259","49,000",
114,115,파파야리프,37.5029711,127.0276060,서울 강남구 강남대로102길 29 번지 2층,670,"10,000",4.5
115,116,용용선생 강남역점,37.5000540,127.0284433,서울 강남구 강남대로96길 17,309,"17,000",4.61
116,117,나이스샤워,37.4976120,127.0329390,서울 강남구 테헤란로10길 25 뜨라네아파트,699,"13,000",4.5
117,118,우마마,37.5220621,127.0412554,서울 강남구 도산대로58길 18 2층,426,"8,000",4.9
118,119,오복수산 도산,37.5240650,127.0385957,서울 강남구 도산대로53길 14 2층 오복수산,865,"21,000",4.44
119,120,삼창교자,37.5188658,127.0217772,서울 강남구 강남대로156길 33 1층,329,"17,000",4.44
120,121,오레노라멘 강남점,37.5004882,127.0280926,서울 강남구 테헤란로1길 28-9 2F,514,"8,000",4.71
121,122,빌즈 강남,37.4997149,127.0349088,서울 강남구 테헤란로 142 아크플레이스 2층,"2,533","16,000",4.38
122,123,앤드트리,37.5243708,127.0374481,서울 강남구 도산대로49길 22 1층,32,400,
123,124,청담돈,37.5236647,127.0371818,서울 강남구 도산대로49길 11 2층 청담돈,"1,308","16,000",4.63
124,125,마녀주방 강남점,37.4994535,127.0281755,서울 강남구 강남대로94길 9,"1,630","12,000",4.45
125,126,오스테리아 꼬또 압구정점,37.5250748,127.0322366,서울 강남구 언주로165길 7-12 오스테리아꼬또 압구정점은 고객님들의 편리한 방문을 위하여 발렛파킹 서비스를 제공하고 있습니다. 주차장에 오셔서 직원에게 문의해 주세요,"1,162","33,000",
126,127,비야게레로,37.5119508,127.0528549,서울 강남구 봉은사로78길 12 101호,430,"26,000",4.23
127,128,플레이버스 바이 바프,37.5190965,127.0209138,서울 강남구 강남대로158길 26 1층 플레이버스 바이 바프,95,"4,000",
128,129,세드라,37.5023210,127.0528969,서울 강남구 역삼로67길 15 101호,507,"20,000",4.57
129,130,고센인코퍼레이티드 청담점,37.5252858,127.0414762,서울 강남구 선릉로158길 18,518,"18,000",4.13
130,131,한올,37.5190285,127.0237826,서울 강남구 도산대로15길 11 2층,64,900,
131,132,단초식당 선릉점,37.5034345,127.0538865,서울 강남구 역삼로69길 27 1층,77,"3,000",4.63
132,133,얼오브샌드위치 압구정로데오점,37.5239240,127.0373577,서울 강남구 도산대로49길 16 한창상가 1층,122,"1,000",
133,134,오리지널팬케이크하우스 도곡점,37.4874808,127.0469896,서울 강남구 남부순환로 2753,845,"8,000",
134,135,파씨오네,37.5254399,127.0367240,서울 강남구 언주로164길 39,"2,667","29,000",4.7
135,136,대가방 본점,37.5212538,127.0385815,서울 강남구 선릉로145길 13 럭스웨이빌딩,778,"23,000",4.28
136,137,녘,37.5027666,127.0267137,서울 강남구 봉은사로4길 32 2층,"1,155","14,000",4.72
137,138,압구정 곱창,37.5270089,127.0356528,서울 강남구 압구정로42길 25-8,148,"15,000",4.61
138,139,모도우 삼성점,37.5100009,127.0578448,서울 강남구 테헤란로87길 35 금강빌딩 B1층,205,800,
139,140,텍사스데브라질 압구정점,37.5253216,127.0288651,서울 강남구 논현로 854 안다즈 호텔 지하 1층,"3,508","12,000",4.33
140,141,대낚식당,37.4945193,127.0344887,서울 강남구 역삼로 137 1층 대낚식당,748,"26,000",4.36
141,142,최가네버섯샤브매운탕칼국수,37.5254749,127.0382082,서울 강남구 도산대로51길 36 2층3층,975,"19,000",4.54
142,143,샤이바나 코엑스점,37.5120527,127.0593545,서울 강남구 영동대로 513 코엑스몰 B1 I108,"1,487","4,000",4.19
143,144,포스톤즈커피로스터스,37.5097712,127.0639116,서울 강남구 테헤란로103길 5 포스톤즈커피로스터스,502,"22,000",
144,145,웨이크앤베이크 청담,37.5257975,127.0346198,서울 강남구 압구정로42길 47,771,"29,000",4.42
145,146,틴틴,37.5035726,127.0261977,서울 강남구 봉은사로2길 19,236,"5,000",
146,147,먼스터샌드,37.5022692,127.0503015,서울 강남구 선릉로 418 1층 2호,71,400,4.5
147,148,포브라더스 도곡점,37.4840320,127.0453012,서울 강남구 논현로28길 40 덕영빌딩,"1,784","9,000",4.41
148,149,호미호식,37.5025319,127.0268863,"서울 강남구 봉은사로4길 36 운현빌딩 1층 2호, 호미호식",377,"14,000",4.92
149,150,아그라 코엑스점,37.5113715,127.0590782,서울 강남구 영동대로 513 (코엑스 지하1층 아이102호),"2,059","5,000",4.36
150,151,버거스올마이티 강남역점,37.5026052,127.0265737,서울 강남구 봉은사로2길 31 1층,623,"9,000",4.74
151,152,BOME CHEONGDAM,37.5243255,127.0426906,서울 강남구 선릉로152길 40 1층,608,"25,000",
152,153,바토스 파르나스몰점,37.5095450,127.0608688,서울 강남구 테헤란로 521 지하 1층 F-25호,922,"2,000",4.36
153,154,알부자,37.5007176,127.0278213,서울 강남구 강남대로98길 14 1층 알부자,"1,724","14,000",4.38
154,155,피그인더가든 강남점,37.4949569,127.0297635,서울 강남구 강남대로 358 1층,"2,610","9,000",4.31
155,156,신사전,37.5186104,127.0226344,서울 강남구 도산대로11길 18 신사전,564,"15,000",4.31
156,157,뮤즈온,37.5203549,127.0237609,서울 강남구 도산대로15길 32 2층,495,"8,000",
157,158,카츠바이콘반,37.5247759,127.0364560,서울 강남구 선릉로153길 36,"1,076","63,000",4.58
158,159,올리버,37.5261699,127.0377307,서울 강남구 선릉로157길 25 2층,62,"3,000",
159,160,무월식탁,37.5025759,127.0273296,서울 강남구 강남대로102길 23,"1,272","16,000",4.28
160,161,토리시오,37.4848866,127.0451577,서울 강남구 논현로30길 43 1층,313,"9,000",4.49
161,162,수다 청담점,37.5247142,127.0412954,서울 강남구 도산대로57길 15,344,"2,000",4.66
162,163,압구정제주집,37.5215590,127.0311174,서울 강남구 논현로152길 36 1층,667,"8,000",4.6
163,164,지아니스나폴리 가로수길점,37.5191976,127.0238132,서울 강남구 도산대로15길 15 2층,366,"9,000",4.35
164,165,듀자미,37.5193446,127.0225353,서울 강남구 도산대로11길 28,"2,242","23,000",4.29
165,166,효계,37.5192182,127.0237865,서울 강남구 도산대로15길 15 1층,293,"23,000",4.53
166,167,상무초밥 강남역점,37.5051327,127.0257425,서울 강남구 봉은사로 111 es타워 1층,"2,002","5,000",4.4
167,168,떡도리탕 강남본점,37.5004221,127.0281131,서울 강남구 테헤란로1길 28-9 1층,767,"14,000",4.46
168,169,어글리스토브 신논현강남역점,37.5008038,127.0282118,서울 강남구 강남대로98길 20,"4,814","13,000",4.34
169,170,부엉이산장 강남점,37.5004962,127.0283031,서울 강남구 테헤란로1길 28-11 1층,36,500,
170,171,무월식탁 파르나스점,37.5090905,127.0606801,서울 강남구 테헤란로 521 파르나스몰 지하1층 F-16,"1,025","3,000",4.38
171,172,허머스키친,37.5094596,127.0610107,서울 강남구 테헤란로 521 파르나스몰 지하 1층 F-26호,"1,741","9,000",4.46
172,173,강남면옥 본점,37.5214830,127.0309466,서울 강남구 논현로152길 34,"1,266","9,000",4.28
173,174,삼원가든,37.5246751,127.0325490,서울 강남구 언주로 835,517,"10,000",
174,175,모던오뎅 가로수길점,37.5193949,127.0249393,서울 강남구 도산대로17길 10 1층 모던오뎅,204,"26,000",4.34
175,176,타우너스 에스프레소 바,37.4984361,127.0398212,서울 강남구 테헤란로28길 41 타우너스 1층,207,"11,000",
176,177,볼트스테이크하우스,37.5250054,127.0449603,서울 강남구 압구정로72길 22,"1,481","30,000",4.26
177,178,시추안하우스 삼성점,37.5096122,127.0580011,서울 강남구 테헤란로87길 29 M타워 1층,970,"10,000",4.39
178,179,휴가,37.5103152,127.0304584,서울 강남구 논현로119길 16 우성빌리지 뒷담길(지도.유나이티드제약찍고오세요),57,"1,000",
179,180,어썸로즈,37.5209255,127.0220256,서울 강남구 압구정로10길 40 지하1층,"3,174","25,000",4.77
180,181,꼭그닭 강남점,37.5024642,127.0270949,서울 강남구 봉은사로4길 37 지하1층,"1,089","7,000",4.44
181,182,도산맘마미아,37.5259310,127.0346732,서울 강남구 압구정로42길 45,"2,135","45,000",4.36
182,183,홍팥집 양재점,37.4868184,127.0356587,서울 강남구 남부순환로359길 31 1층,804,"6,000",4.47
183,184,수다 삼성1호점,37.5111141,127.0573181,서울 강남구 테헤란로87길 53,408,"3,000",4.7
184,185,감성타코 가로수길점,37.5196663,127.0232477,서울 강남구 가로수길 26 3층,891,"17,000",4.42
185,186,정월,37.5036729,127.0286442,서울 강남구 강남대로102길 46 1층,"1,344","28,000",4.46
186,187,어람촌,37.5047910,127.0436010,서울 강남구 언주로98길 22,100,300,4.62
187,188,쉐이크쉑 강남점,37.5028579,127.0257153,서울 강남구 강남대로 452 (역삼동) 1층,"10,898","11,000",4.43
188,189,영천영화 청담점,37.5239502,127.0495268,서울 강남구 도산대로90길 3 상민빌딩,"1,370","31,000",4.36
189,190,안남,37.4870090,127.0520170,서울 강남구 언주로 118 1층 안남,734,"14,000",4.47
190,191,원스타 올드패션드 햄버거,37.4828438,127.0444028,서울 강남구 논현로26길 23,614,"19,000",4.47
191,192,C27 가로수길점,37.5207197,127.0233054,서울 강남구 도산대로15길 39,"1,807","16,000",4.27
192,193,카페드리옹 코엑스점,37.5116648,127.0594201,서울 강남구 영동대로 513 B1층 아이105호,"1,136","2,000",4.62
193,194,케르반 코엑스몰점,37.5113517,127.0589453,서울 강남구 봉은사로 524 코엑스몰 B1 H105,960,"2,000",4.26
194,195,탄탄면공방 파르나스몰점,37.5096142,127.0612772,서울 강남구 테헤란로 521 파르나스타워 지하 1층 탄탄면공방,"1,420","2,000",4.61
195,196,웍셔너리,37.5238983,127.0384938,서울 강남구 도산대로53길 12,685,"36,000",4.28
196,197,로바타 라이브라 카운터,37.5228876,127.0438274,서울 강남구 선릉로148길 52 1층,108,"6,000",4.49
197,198,진도켄 이자카야,37.5188594,127.0238609,서울 강남구 도산대로15길 9 지하 1층,116,"9,000",5
198,199,톡톡,37.5224131,127.0543381,서울 강남구 학동로97길 41 리유빌딩 3층,278,"25,000",4.4
199,200,이대성의진면목 본점,37.5102334,127.0571634,서울 강남구 삼성로100길 23-3 1층,"1,065","5,000",4.59
200,201,롸카두들 내쉬빌 핫치킨 압구정,37.5255995,127.0364531,서울 강남구 언주로164길 35-3 1층,428,"27,000",4.59
201,202,현대순대국,37.5090458,127.0242085,서울 강남구 강남대로124길 20 남경빌딩,453,"4,000",4.39
202,203,어거스트 힐 강남점,37.5033952,127.0276785,서울 강남구 강남대로106길 25,"5,116","28,000",4.56
203,204,오리지널팬케이크하우스 가로수길점,37.5209740,127.0216931,서울 강남구 강남대로162길 41 동원빌딩,"1,201","26,000",4.31
204,205,천진영감,37.5033381,127.0271809,서울 강남구 봉은사로6길 26 1층,462,"14,000",4.45
205,206,PEACH,37.5259096,127.0362140,서울 강남구 언주로168길 32 1층,213,"16,000",4.41
206,207,테라로사 포스코센터점,37.5060634,127.0560829,서울 강남구 테헤란로 440 1층,"4,641","17,000",4.48
207,208,온달집 본점,37.5176355,127.0217244,서울 강남구 강남대로152길 28,492,"19,000",4.44
208,209,마사 타코,37.5219711,127.0217716,서울 강남구 압구정로10길 30-8,417,"11,000",4.42
209,210,제스트,37.5252672,127.0407993,서울 강남구 도산대로55길 26 하늘빌딩 1층,114,"7,000",4.74
210,211,패티앤베지스,37.5220005,127.0202215,서울 강남구 압구정로4길 11 1층,"1,110","32,000",4.46
211,212,은행골 신사점,37.5180268,127.0227470,서울 강남구 강남대로152길 42 2층,"1,766","16,000",
212,213,나이쏘이 강남점,37.5019284,127.0267220,서울 강남구 강남대로102길 11 2층,530,"3,000",4.25
213,214,파넬,37.5253440,127.0346009,서울 강남구 언주로164길 14,906,"17,000",4.17
214,215,이치서울,37.5192540,127.0205514,서울 강남구 강남대로158길 21 2층,210,"18,000",4.37
215,216,치즈룸 안다즈,37.5253216,127.0288651,서울 강남구 논현로 854 안다즈호텔 지하 1층 112호,"5,642","24,000",4.58
216,217,쿠라우니,37.5189972,127.0221056,서울 강남구 강남대로156길 39,873,"22,000",4.44
217,218,봉밀가 강남구청점,37.5159822,127.0424028,서울 강남구 선릉로 664 건설빌딩,707,"20,000",4.51
218,219,신동궁감자탕 선릉직영점,37.5040863,127.0529113,서울 강남구 선릉로86길 39,"1,531","14,000",4.4
219,220,비파티세리,37.5220169,127.0232793,서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리,"1,759","25,000",4.44
220,221,돝고기506,37.4982664,127.0362225,서울 강남구 역삼로17길 53,429,"31,000",4.42
221,222,마담밍,37.5034924,127.0501910,서울 강남구 선릉로86길 5-4 1층,889,"13,000",4.47
222,223,올드페리도넛 가로수길점,37.5204150,127.0212986,"서울 강남구 강남대로160길 35-5 지하1층 1층, 2층",42,400,
223,224,길버트버거앤프라이즈,37.5212434,127.0231998,서울 강남구 도산대로15길 47,544,"14,000",4.49
224,225,덕후선생,37.5252765,127.0401979,서울 강남구 선릉로 822 5F,464,"25,000",4.25
225,226,일일향 압구정1호점,37.5234628,127.0306405,서울 강남구 논현로168길 30,924,"9,000",4.32
226,227,카페마마스 코엑스점,37.5130928,127.0598122,서울 강남구 영동대로 517 P105호,"3,040","2,000",4.36
227,228,SADDLER HAUS,37.5193887,127.0249425,서울 강남구 도산대로17길 10 B1 새들러하우스,"5,042","83,000",4.55
228,229,아트몬스터 강남역점,37.5004671,127.0276330,서울 강남구 테헤란로1길 28-3,"1,234","17,000",4.55
229,230,모스가든,37.5166946,127.0283515,서울 강남구 논현로139길 12,410,"20,000",
230,231,피양옥,37.5194171,127.0483793,서울 강남구 삼성로133길 14,594,"17,000",4.3
231,232,강남진해장,37.4995538,127.0292442,서울 강남구 테헤란로5길 11,"1,208","11,000",4.33
232,233,피양콩할마니,37.5041000,127.0552500,서울 강남구 삼성로81길 30,"1,487","32,000",4.19
233,234,달링키친,37.5140114,127.0375745,서울 강남구 언주로126길 25,"1,916","15,000",4.43
234,235,썬더버드 청담점,37.5262239,127.0417037,서울 강남구 압구정로60길 18,"1,186","17,000",
235,236,에그슬럿 코엑스점,37.5093958,127.0617786,서울 강남구 영동대로 513 (삼성동) 지하1층 101호,"5,773","9,000",4.17
236,237,플랜튜드,37.5116621,127.0594275,서울 강남구 영동대로 513 스타필드 지하1층 I-111호,161,"2,000",
237,238,블루보틀 역삼 카페,37.4999191,127.0323765,서울 강남구 테헤란로 129 강남N타워 G층,"1,230","8,000",4.41
238,239,보노보노 삼성점,37.5069045,127.0582101,서울 강남구 테헤란로 508 해성2빌딩 지하1층,"6,750","5,000",4.45
239,240,젠제로,37.5153115,127.0432696,서울 강남구 선릉로126길 14 예우빌딩 1층,"2,231","42,000",4.62
